库存明细ID,库存标识,货主,商品编码,商品名称,规格,仓库,区域类型,库位,批次号,生产日期,有效期至,序列号,账面库存,已分配,锁定,残次,可用,启用状态
250,INV[5/1/1/683],名创,6902088126990,清扬男士多效水润养护去屑洗发露 500克,500克,-,拣选区,8-1-1-1,-,-,-,-,7,0,0,0,7,是
254,INV[5/1/1/687],名创,6902088127003,海飞丝去屑清爽去油型洗发露500克,500克,-,拣选区,8-1-1-1,-,-,-,-,14,0,0,0,14,是
253,INV[5/1/1/686],名创,6902088127010,清扬去屑樱花沁爽香型洗发露 500克,500克,-,拣选区,8-1-1-1,-,-,-,-,1,0,0,0,1,是
242,INV[5/1/1/644],名创,6902088134629,清扬男士劲凉冰爽型洗发露 100 克,100 克,-,拣选区,8-1-1-1,-,-,-,-,2,0,0,0,2,是
188,INV[5/1/1/601],名创,6902088310788,力士沐浴露幽莲魅肤1000ml,1000ml,-,拣选区,8-1-1-1,-,-,-,-,10,0,0,0,10,是
203,INV[5/1/1/678],名创,6902088422825,多芬浓密泡泡清甜奶香沐浴露400g,400g,-,拣选区,8-1-1-1,-,-,-,-,5,0,0,0,5,是
202,INV[5/1/1/677],名创,6902088422870,多芬樱花甜香保湿爽肤清洁沐浴露400g,400g,-,拣选区,8-1-1-1,-,-,-,-,9,0,0,0,9,是
198,INV[5/1/1/673],名创,6902088435628,多芬弹润水嫩清爽沐浴露300g,300g,-,拣选区,8-1-1-1,-,-,-,-,14,0,0,0,14,是
274,INV[5/1/1/602],名创,6902088708127,奥妙柠檬2块装洗衣皂206g*2,206g*2,-,拣选区,8-1-1-1,-,-,-,-,12,0,0,0,12,是
269,INV[5/1/1/605],名创,6902088714753,奥妙除菌除螨洗衣液3kg,3kg,-,拣选区,8-1-1-1,-,-,-,-,6,0,0,0,6,是
267,INV[5/1/1/577],名创,6902088714774,奥妙除菌除螨洗衣液400g,400g,-,拣选区,8-1-1-1,-,-,-,-,16,0,0,0,16,是
272,INV[5/1/1/692],名创,6902088929829,奥妙除菌洗衣凝珠 50颗,50颗,-,拣选区,8-1-1-1,-,-,-,-,47,0,0,0,47,是
237,INV[5/1/1/636],名创,6902088951165,清扬养根韧发洗发水500ML,500ML,-,拣选区,8-1-1-1,-,-,-,-,13,0,0,0,13,是
314,INV[5/1/1/714],名创,6902088964141,力士水润丝滑玻尿酸润发乳160g,160g,-,拣选区,8-1-1-1,-,-,-,-,6,0,0,0,6,是
197,INV[5/1/1/672],名创,6902088967067,力士幽莲魅肤沐浴露350g,350g,-,拣选区,8-1-1-1,-,-,-,-,8,0,0,0,8,是
327,INV[5/1/1/726],名创,6902132007060,冷酸灵抗敏感水果薄荷牙膏150克,150克,-,拣选区,8-1-1-1,-,-,-,-,15,0,0,0,15,是
326,INV[5/1/1/725],名创,6902132085488,冷酸灵抗敏感水果薄荷牙膏90克,90克,-,拣选区,8-1-1-1,-,-,-,-,9,0,0,0,9,是
233,INV[5/1/1/659],名创,6902312187889,榄菊蚊香（无烟无香）10 圈,（无烟无香）10 圈,-,拣选区,8-1-1-1,-,-,-,-,13,0,0,0,13,是
322,INV[5/1/1/721],名创,6902312298189,榄菊速杀型杀虫气雾剂600ml-蓝色,600ml-蓝色,-,拣选区,8-1-1-1,-,-,-,-,9,0,0,0,9,是
232,INV[5/1/1/610],名创,6902312301599,榄菊加大盘野菊花蚊香36盘-桶装,36盘-桶装,-,拣选区,8-1-1-1,-,-,-,-,21,0,0,0,21,是
265,INV[5/1/1/691],名创,6903148078907,汰渍净白去渍洗衣粉1.15kg,1.15kg,-,拣选区,8-1-1-1,-,-,-,-,12,0,0,0,12,是
312,INV[5/1/1/713],名创,6903148078914,汰渍净白护色去渍升级洗衣粉2.55kg,2.55kg,-,拣选区,8-1-1-1,-,-,-,-,10,0,0,0,10,是
264,INV[5/1/1/574],名创,6903148078945,汰渍柠檬清新洗衣粉1.15kg,1.15kg,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
190,INV[5/1/1/647],名创,6903148082133,舒肤佳纯白清香沐浴露 1000 克,1000 克,-,拣选区,8-1-1-1,-,-,-,-,12,0,0,0,12,是
316,INV[5/1/1/716],名创,6903148091449,潘婷乳液修护洗发露750g,750g,-,拣选区,8-1-1-1,-,-,-,-,5,0,0,0,5,是
256,INV[5/1/1/689],名创,6903148091470,潘婷PRO-V丝质顺滑型洗发露400g,400g,-,拣选区,8-1-1-1,-,-,-,-,6,0,0,0,6,是
251,INV[5/1/1/684],名创,6903148091487,潘婷丝质顺滑洗发露 750克,750克,-,拣选区,8-1-1-1,-,-,-,-,5,0,0,0,5,是
239,INV[5/1/1/589],名创,6903148131404,飘柔双效去屑清爽型洗发露1000g,1000g,-,拣选区,8-1-1-1,-,-,-,-,4,0,0,0,4,是
249,INV[5/1/1/682],名创,6903148131411,飘柔双效水润兰花香型洗发露 1kg,1kg,-,拣选区,8-1-1-1,-,-,-,-,19,0,0,0,19,是
325,INV[5/1/1/724],名创,6903148144541,舒肤佳纯白清香型香皂100g,100 克,-,拣选区,8-1-1-1,-,-,-,-,32,0,0,0,32,是
315,INV[5/1/1/715],名创,6903148193150,潘婷乳液修护润发精华素500ml,500ml,-,拣选区,8-1-1-1,-,-,-,-,4,0,0,0,4,是
243,INV[5/1/1/645],名创,6903148209097,海飞丝清爽控油型洗发露700ml,700ml,-,拣选区,8-1-1-1,-,-,-,-,8,0,0,0,8,是
248,INV[5/1/1/669],名创,6903148209103,海飞丝丝质柔滑型去屑洗发露 700 克,700 克,-,拣选区,8-1-1-1,-,-,-,-,13,0,0,0,13,是
240,INV[5/1/1/642],名创,6903148225783,飘柔兰花香型洗发露 1000克,1000克,-,拣选区,8-1-1-1,-,-,-,-,45,0,0,0,45,是
261,INV[5/1/1/648],名创,6903148252055,舒肤佳洗手液 纯白 225 克,225 克,-,拣选区,8-1-1-1,-,-,-,-,9,0,0,0,9,是
262,INV[5/1/1/649],名创,6903148252062,舒肤佳洗手液 柠檬 225 克,225 克,-,拣选区,8-1-1-1,-,-,-,-,10,0,0,0,10,是
252,INV[5/1/1/685],名创,6903148264027,海飞丝清爽去油型洗发露 500克,500克,-,拣选区,8-1-1-1,-,-,-,-,9,0,0,0,9,是
276,INV[5/1/1/604],名创,6903148326893,舒肤佳香皂纯白+柠檬特惠装,-,-,拣选区,8-1-1-1,-,-,-,-,14,0,0,0,14,是
318,INV[5/1/1/718],名创,6903148355848,舒肤佳沉澈沐浴露乌木玫瑰香570ml,570ml,-,拣选区,8-1-1-1,-,-,-,-,6,0,0,0,6,是
308,INV[5/1/1/710],名创,6903244675208,心相印6包装/提,6包装/提,-,拣选区,8-1-1-1,-,-,-,-,4,0,0,0,4,是
309,INV[5/1/1/711],名创,6903244678377,心相印10包装/提,10包装/提,-,拣选区,8-1-1-1,-,-,-,-,2,0,0,0,2,是
204,INV[5/1/1/584],名创,6904866161117,B052金鹿500ml杀虫气雾剂-柠檬,500ml,-,拣选区,8-1-1-1,-,-,-,-,9,0,0,0,9,是
323,INV[5/1/1/722],名创,6904866165269,金鹿儿乐宝电热蚊香液无香型1+3 152晚,无香型1+3 152晚,-,拣选区,8-1-1-1,-,-,-,-,12,0,0,0,12,是
235,INV[5/1/1/663],名创,6904866166464,C113 金鹿电热蚊香液 2 瓶装（无味）,2 瓶装（无味）,-,拣选区,8-1-1-1,-,-,-,-,8,0,0,0,8,是
182,INV[5/1/1/653],名创,6904915641287,蜂花柔亮营养护发素 1L （蓝）,1L （蓝）,-,拣选区,8-1-1-1,-,-,-,-,4,0,0,0,4,是
184,INV[5/1/1/671],名创,6904915641294,蜂花柔亮营养护发素 1L （黄）,1L（） 黄）,-,拣选区,8-1-1-1,-,-,-,-,7,0,0,0,7,是
299,INV[5/1/1/583],名创,6914068002255,洁柔蓝面子卷筒纸140g*12卷,140g*12卷,-,拣选区,8-1-1-1,-,-,-,-,1,0,0,0,1,是
259,INV[5/1/1/652],名创,6917246008360,曼秀雷敦保湿活力洁面乳150克,150克,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
273,INV[5/1/1/693],名创,6920174749212,立白 天然亮白低泡洗衣液薰衣草香1kg/瓶,1kg/瓶,-,拣选区,8-1-1-1,-,-,-,-,6,0,0,0,6,是
271,INV[5/1/1/657],名创,6920174758948,立白凝珠52颗 日晒清香型,52颗 日晒清香型,-,拣选区,8-1-1-1,-,-,-,-,16,0,0,0,16,是
270,INV[5/1/1/656],名创,6920174766769,立白凝珠52颗 静雅樱花香,52颗 静雅樱花香,-,拣选区,8-1-1-1,-,-,-,-,16,0,0,0,16,是
282,INV[5/1/1/637],名创,6920354808289,高露洁冰爽牙膏 三重薄荷 120 克,120 克,-,拣选区,8-1-1-1,-,-,-,-,2,0,0,0,2,是
298,INV[5/1/1/702],名创,6920354812286,高露洁超密丝护龈牙刷2支装,2支装,-,拣选区,8-1-1-1,-,-,-,-,30,0,0,0,30,是
329,INV[5/1/1/728],名创,6920354832697,高露洁牙刷 2支装宽柔洁超密丝纤细软毛,2支装,-,拣选区,8-1-1-1,-,-,-,-,21,0,0,0,21,是
212,INV[5/1/1/617],名创,6921284451026,洁伶淘淘氧棉天山白夜用卫生巾(无香型)355mm6片,355mm6片,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
229,INV[5/1/1/633],名创,6921284451033,洁伶淘淘氧棉天山白日用卫生巾(无香型)240mm10片,(无香型)240mm10片,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
208,INV[5/1/1/613],名创,6921284451187,S洁伶淘淘氧棉丝薄410夜用卫生巾,-,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
209,INV[5/1/1/614],名创,6921284451224,淘淘小扇尾无香型纯棉表层轻薄透气13片卫生巾,13片装,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
211,INV[5/1/1/616],名创,6921284451668,淘淘天山白小蛮腰熟睡裤 L-XL码×3片,L-XL码×3片,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
220,INV[5/1/1/625],名创,6921284493972,淘淘天山白180mm迷你卫生巾 无香型,180mm无香型,-,拣选区,8-1-1-1,-,-,-,-,30,0,0,0,30,是
319,INV[5/1/1/588],名创,6921382733079,澳雪百合花香沐浴露2kg,2kg,-,拣选区,8-1-1-1,-,-,-,-,15,0,0,0,15,是
307,INV[5/1/1/709],名创,6922266434686,清风厨房用纸,-,-,拣选区,8-1-1-1,-,-,-,-,4,0,0,0,4,是
306,INV[5/1/1/708],名创,6922266452161,清风金装卷筒卫生巾4层10卷/提,4层10卷/提,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
310,INV[5/1/1/712],名创,6922266489457,清风棉柔亲肤面巾纸,-,-,拣选区,8-1-1-1,-,-,-,-,5,0,0,0,5,是
301,INV[5/1/1/704],名创,6922266493331,清风3层原木经典100抽/300张,100抽/300张,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
260,INV[5/1/1/690],名创,6923427904826,半亩花田米酵氨基酸泡泡洁面慕斯500g,500g,-,拣选区,8-1-1-1,-,-,-,-,8,0,0,0,8,是
196,INV[5/1/1/664],名创,6923427908961,半亩花田玫瑰花瓣香氛沐浴露 500g,500g,-,拣选区,8-1-1-1,-,-,-,-,9,0,0,0,9,是
245,INV[5/1/1/665],名创,6923427913330,半亩花田轻盈控油香氛洗发水 750g,750g,-,拣选区,8-1-1-1,-,-,-,-,7,0,0,0,7,是
255,INV[5/1/1/688],名创,6923427913347,半亩花田清爽去屑香氛洗发水750g(雨后清茶),750g(雨后清茶),-,拣选区,8-1-1-1,-,-,-,-,4,0,0,0,4,是
296,INV[5/1/1/606],名创,6923476149087,倍加洁特惠装牙刷 6 支装,6 支装,-,拣选区,8-1-1-1,-,-,-,-,10,0,0,0,10,是
200,INV[5/1/1/675],名创,6923909520087,朵朵贝儿婴幼儿牛奶润肤沐浴露1kg,1kg,-,拣选区,8-1-1-1,-,-,-,-,13,0,0,0,13,是
199,INV[5/1/1/674],名创,6923909520117,朵朵贝儿洗发沐浴露二合一 1kg,二合一 1kg,-,拣选区,8-1-1-1,-,-,-,-,5,0,0,0,5,是
287,INV[5/1/1/668],名创,6924279219243,小叮当儿童防龋奥拉氟(草莓)牙膏(2-6岁)70g,70g,-,拣选区,8-1-1-1,-,-,-,-,30,0,0,0,30,是
283,INV[5/1/1/638],名创,6924975865683,小浣熊换牙宝儿童牙膏 鲜鲜橙子味,-,-,拣选区,8-1-1-1,-,-,-,-,4,0,0,0,4,是
230,INV[5/1/1/680],名创,6926052515016,自由点155mm卫生护垫20片装,20片装,-,拣选区,8-1-1-1,-,-,-,-,25,0,0,0,25,是
231,INV[5/1/1/681],名创,6926052515276,自由点240mm日用卫生巾8片装,8片装,-,拣选区,8-1-1-1,-,-,-,-,21,0,0,0,21,是
285,INV[5/1/1/640],名创,6928471321803,舒客防蛀健白牙膏 清香柠檬型 180 克,180 克,-,拣选区,8-1-1-1,-,-,-,-,18,0,0,0,18,是
284,INV[5/1/1/639],名创,6928471322589,舒客悠净清新牙膏 清悦鲜果香型 120 克,120 克,-,拣选区,8-1-1-1,-,-,-,-,20,0,0,0,20,是
292,INV[5/1/1/698],名创,6928471324453,舒客专效清新牙膏(冰川薄荷)190g,190g,-,拣选区,8-1-1-1,-,-,-,-,17,0,0,0,17,是
290,INV[5/1/1/696],名创,6928926003797,好来茶倍健小茶管芝芝雪顶牙膏80g,80g,-,拣选区,8-1-1-1,-,-,-,-,18,0,0,0,18,是
291,INV[5/1/1/697],名创,6928926003810,好来茶倍健小茶管玫荔多妍牙膏80g,80g,-,拣选区,8-1-1-1,-,-,-,-,68,0,0,0,68,是
277,INV[5/1/1/579],名创,6928926006958,好来清新双效牙有200g,200g,-,拣选区,8-1-1-1,-,-,-,-,20,0,0,0,20,是
295,INV[5/1/1/595],名创,6933179223168,纳美科学实惠装牙刷2支装,2支装,-,拣选区,8-1-1-1,-,-,-,-,36,0,0,0,36,是
279,INV[5/1/1/581],名创,6933179230104,纳美小苏打源生护龈牙膏120g+40g,120g+40g,-,拣选区,8-1-1-1,-,-,-,-,30,0,0,0,30,是
293,INV[5/1/1/699],名创,6933179239350,纳美小苏打双重薄荷牙膏225g,225g,-,拣选区,8-1-1-1,-,-,-,-,17,0,0,0,17,是
278,INV[5/1/1/580],名创,6933179239374,纳美小苏打双重薄荷牙膏225g,225g,-,拣选区,8-1-1-1,-,-,-,-,10,0,0,0,10,是
217,INV[5/1/1/622],名创,6934660522258,苏菲弹力贴身23cm卫生巾10片装 日用,23cm卫生巾10片装,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
213,INV[5/1/1/618],名创,6934660550299,苏菲超熟睡安心裤XL2条装,XL2条装,-,拣选区,8-1-1-1,-,-,-,-,27,0,0,0,27,是
214,INV[5/1/1/619],名创,6934660550398,苏菲超熟睡安心裤 L×2条 9包-旧包装（临期,L×2条 9包-旧包装,-,拣选区,8-1-1-1,-,-,-,-,9,0,0,0,9,是
215,INV[5/1/1/620],名创,6934660551385,苏菲超熟睡安心裤 L 2条 66包 新包装,L 2条,-,拣选区,8-1-1-1,-,-,-,-,66,0,0,0,66,是
226,INV[5/1/1/679],名创,6934660555119,苏菲口袋魔法零味感棉柔240mm10片,240mm10片,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
225,INV[5/1/1/630],名创,6934660556123,苏菲口袋魔法24cm日用卫生巾16片装,16片装,-,拣选区,8-1-1-1,-,-,-,-,30,0,0,0,30,是
224,INV[5/1/1/629],名创,6934660561660,1660/苏菲超熟睡柔棉感420 4片,4片,-,拣选区,8-1-1-1,-,-,-,-,14,0,0,0,14,是
246,INV[5/1/1/666],名创,6936501012126,浅香日本扁柏氨基酸洗发水 750g,750g,-,拣选区,8-1-1-1,-,-,-,-,5,0,0,0,5,是
286,INV[5/1/1/641],名创,6940477402003,舒客红花清火牙膏 120 克,120 克,-,拣选区,8-1-1-1,-,-,-,-,2,0,0,0,2,是
257,INV[5/1/1/578],名创,6942826410646,家家宜柠檬全效洗洁精1.5千kg,1.5千kg,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
192,INV[5/1/1/651],名创,6949044601580,青蛙王子儿童沐浴露 柚柚香 1000 克,柚柚香 1000 克,-,拣选区,8-1-1-1,-,-,-,-,11,0,0,0,11,是
191,INV[5/1/1/650],名创,6949044601597,青蛙王子儿童沐浴露 牛奶香1000 克,牛奶香1000 克,-,拣选区,8-1-1-1,-,-,-,-,4,0,0,0,4,是
187,INV[5/1/1/634],名创,6957411123245,老管家花香洁厕宝 50 克,50 克,-,拣选区,8-1-1-1,-,-,-,-,39,0,0,0,39,是
236,INV[5/1/1/590],名创,6970171568026,时尚优家小白鞋净100ml,100ml,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
183,INV[5/1/1/670],名创,6970635464528,理然防晒喷雾 150ML,150ML,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
317,INV[5/1/1/717],名创,6970856720602,小浣熊驱蚊花露水艾草香型195ml,195ml,-,拣选区,8-1-1-1,-,-,-,-,6,0,0,0,6,是
304,INV[5/1/1/599],名创,6971121941180,绿川可湿水XL码抽纸400张*8包,400张*8包,-,拣选区,8-1-1-1,-,-,-,-,158,0,0,0,158,是
305,INV[5/1/1/707],名创,6971121941203,绿川多功能悬挂抽纸,-,-,拣选区,8-1-1-1,-,-,-,-,11,0,0,0,11,是
320,INV[5/1/1/719],名创,6971492650018,洁白旋风洁厕宝1kg,1kg,-,拣选区,8-1-1-1,-,-,-,-,8,0,0,0,8,是
297,INV[5/1/1/701],名创,6972038733097,齿工学软毛牙刷家庭装8支装,8支装,-,拣选区,8-1-1-1,-,-,-,-,32,0,0,0,32,是
186,INV[5/1/1/660],名创,6972841461088,隆力奇前驱蚊花露水195ML,195ML,-,拣选区,8-1-1-1,-,-,-,-,10,0,0,0,10,是
280,INV[5/1/1/582],名创,6972898190023,200g田七牙膏(特效中药),200g,-,拣选区,8-1-1-1,-,-,-,-,14,0,0,0,14,是
324,INV[5/1/1/723],名创,6973181610686,活力28洗衣液薰衣草香2KG,2KG,-,拣选区,8-1-1-1,-,-,-,-,136,0,0,0,136,是
302,INV[5/1/1/705],名创,6973354665987,苏山爸爸在哪儿茉莉花茶洗衣液5L*4瓶装,5L*4瓶装,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
206,INV[5/1/1/635],名创,6973688402326,水卫士管道疏通剂 500 克,500 克,-,拣选区,8-1-1-1,-,-,-,-,16,0,0,0,16,是
207,INV[5/1/1/612],名创,6974354665007,他研社春眠小裤M-L号,M-L号,-,拣选区,8-1-1-1,-,-,-,-,32,0,0,0,32,是
222,INV[5/1/1/627],名创,6974354668404,他研社240mm日用卫生巾8片装,240mm8片装,-,拣选区,8-1-1-1,-,-,-,-,25,0,0,0,25,是
303,INV[5/1/1/706],名创,6974760970375,苏山爸爸在哪儿山茶花香洗衣液2L,2L,-,拣选区,8-1-1-1,-,-,-,-,56,0,0,0,56,是
321,INV[5/1/1/720],名创,69760069380077,蛙牌洁厕净500ml,500ml,-,拣选区,8-1-1-1,-,-,-,-,7,0,0,0,7,是
205,INV[5/1/1/658],名创,6976556401339,舒可兔婴儿手口湿巾 80片,80片,-,拣选区,8-1-1-1,-,-,-,-,16,0,0,0,16,是
194,INV[5/1/1/655],名创,9345521000933,绿色溪谷茶树舒爽沐浴露 700g,700g,-,拣选区,8-1-1-1,-,-,-,-,4,0,0,0,4,是
193,INV[5/1/1/654],名创,9345521000940,绿色溪谷橙花亮肤沐浴露 700g,700g,-,拣选区,8-1-1-1,-,-,-,-,8,0,0,0,8,是
