source,id,owner_id,owner_code,owner_name,warehouse_id,warehouse_code,product_id,product_code,product_name,location_id,location_code,current_batch_no,current_production_date,current_expiry_date,current_serial_no,problems,new_batch_no,new_production_date,new_expiry_date,new_serial_no,note
detail,37,3,dz,邓总,1,1,420,DZ-0009,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,38,3,dz,邓总,1,1,422,DZ-0011,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,39,3,dz,邓总,1,1,423,DZ-0012,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,40,3,dz,邓总,1,1,424,DZ-0013,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,41,3,dz,邓总,1,1,425,DZ-0014,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,42,3,dz,邓总,1,1,426,DZ-0015,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,43,3,dz,邓总,1,1,427,DZ-0016,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,44,3,dz,邓总,1,1,428,DZ-0017,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,45,3,dz,邓总,1,1,429,DZ-0018,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,46,3,dz,邓总,1,1,430,DZ-0019,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,47,3,dz,邓总,1,1,431,DZ-0020,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,48,3,dz,邓总,1,1,432,DZ-0021,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,49,3,dz,邓总,1,1,433,DZ-0022,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,50,3,dz,邓总,1,1,434,DZ-0023,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,51,3,dz,邓总,1,1,435,DZ-0024,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,52,3,dz,邓总,1,1,436,DZ-0025,红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,53,3,dz,邓总,1,1,437,DZ-0026,黑红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,54,3,dz,邓总,1,1,438,DZ-0027,黑红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
